,steering,throttle,model_steering,model_throttle
0,-0.38559,0.44159,-0.3629327,0.4656624
1,-0.42335,0.47153,-0.27225688,0.46396136
2,-0.19814,0.47284,-0.23432401,0.46325824
3,-0.045430000000000026,0.47675,-0.069875196,0.45948017
4,-0.17212,0.47284,-0.1570754,0.4618029
5,-0.014180000000000024,0.47024,-0.08229535,0.45987606
6,-0.17037000000000002,0.47153,-0.19985993,0.4626434
7,-0.19032000000000002,0.47284,-0.11906962,0.46091402
8,-0.39558000000000004,0.47153,-0.362491,0.46565402
9,-0.29186999999999996,0.47153,-0.33303943,0.46510023
10,-0.08187,0.47284,-0.08938219,0.4600916
11,-0.37997,0.47153,-0.3928348,0.46622536
12,-0.14609,0.47153,-0.14983219,0.46164548
13,-0.12222999999999999,0.47284,-0.09140302,0.46015164
14,-0.22676999999999997,0.46765,-0.2863364,0.4642244
15,-0.43113999999999997,0.47153,-0.37309995,0.4658539
16,-0.41422,0.47153,-0.41008198,0.46654946
17,-0.28926999999999997,0.47153,-0.3051866,0.46457753
18,-0.057130000000000014,0.47153,-0.13178307,0.4612297
19,-0.12265999999999999,0.47153,-0.16321847,0.46193254
20,-0.18600999999999998,0.47803,-0.13623503,0.46133566
21,-0.14997,0.47284,-0.12097062,0.46096253
22,-0.30968,0.37392,-0.30150792,0.46450844
23,-0.21333,0.47024,-0.24613582,0.46347475
24,-0.0849,0.47153,-0.1371032,0.46135595
25,-0.27235,0.47284,-0.19036898,0.46246856
26,-0.37258,0.47024,-0.4068005,0.46648794
27,-0.27452,0.47024,-0.3259802,0.46496758
28,-0.25499,0.47284,-0.27039185,0.46392655
29,-0.33873000000000003,0.46765,-0.31029248,0.46467322
30,-0.12874000000000002,0.47153,-0.1304043,0.46119642
31,-0.16127000000000002,0.47024,-0.21255492,0.46286914
32,-0.28926999999999997,0.47284,-0.30848238,0.46463925
33,-0.22506,0.47284,-0.20064719,0.46265775
34,-0.30748000000000003,0.47153,-0.23704259,0.46330777
35,-0.36216,0.47024,-0.35434902,0.46550086
36,-0.3409,0.47153,-0.3041729,0.4645584
37,-0.36867,0.47675,-0.36000112,0.46560726
38,-0.33221999999999996,0.47153,-0.33405328,0.46511933
39,-0.11093,0.47024,-0.1483608,0.4616129
40,-0.14868,0.47415,-0.13841763,0.4613867
41,-0.35654,0.47415,-0.38526133,0.46608275
42,-0.04410999999999998,0.47153,-0.14270806,0.46148562
43,-0.29275,0.47153,-0.316563,0.46479082
44,-0.36824,0.46374,-0.36324674,0.4656682
45,-0.13435999999999998,0.47153,-0.20140284,0.46267146
46,-0.2524,0.47024,-0.18686272,0.46240234
47,-0.33439,0.47153,-0.34313145,0.4652898
48,-0.29404,0.47284,-0.3031779,0.46453974
49,-0.20986999999999997,0.47284,-0.17693889,0.46221048
50,-0.24241,0.36088000000000003,-0.2168312,0.46294454
51,-0.31227,0.47024,-0.3528861,0.46547323
52,-0.34655,0.47024,-0.33662125,0.46516758
53,-0.29318,0.47153,-0.35622257,0.4655361
54,-0.26193,0.47153,-0.28586054,0.46421558
55,-0.3947,0.34395,-0.3764575,0.46591705
56,-0.36433000000000004,0.33357,-0.38972914,0.4661669
57,-0.35956,0.47284,-0.34385058,0.46530336
58,-0.2498,0.47284,-0.17656316,0.4622031
59,-0.12741999999999998,0.47415,-0.15498105,0.4617579
60,-0.16560999999999998,0.47153,-0.16863671,0.46204412
61,-0.35132,0.47284,-0.34954134,0.4654103
62,-0.34524,0.47153,-0.32958108,0.4650353
63,-0.15217000000000006,0.47153,-0.12870352,0.46115512
64,-0.1079,0.47153,-0.06673617,0.45937654
65,-0.12351,0.46765,-0.1758342,0.46218863
66,-0.15475999999999998,0.47284,-0.23252745,0.46322554
67,-0.23025,0.47024,-0.13009655,0.46118897
